dataset,model,params,accuracy,f1,precision,recall,roc_auc
approx_30pct_ones__12bits.csv,DecisionTree,"{'max_depth': 33, 'min_samples_split': 22, 'min_samples_leaf': 2, 'criterion': 'entropy', 'max_features': 'log2'}",0.7853658536585366,0.7066666666666667,0.7114093959731543,0.7019867549668874,0.7827418241325527
approx_30pct_ones__12bits.csv,LogisticRegression,"{'C': 74.69610227818254, 'penalty': 'l2', 'max_iter': 521}",0.9853658536585366,0.9805194805194806,0.9617834394904459,1.0,0.9768339768339769
approx_30pct_ones__12bits.csv,MLPClassifier,"{'n_layers': 3, 'n_neurons_l0': 179, 'n_neurons_l1': 118, 'n_neurons_l2': 108, 'alpha': 0.004042828526105362, 'learning_rate_init': 0.0053511360208686465, 'max_iter': 314}",1.0,1.0,1.0,1.0,1.0
complex_bool_12bits.csv,DecisionTree,"{'max_depth': 3, 'min_samples_split': 35, 'min_samples_leaf': 20, 'criterion': 'entropy', 'max_features': 'log2'}",0.6780487804878049,0.7940717628705148,0.7069444444444445,0.905693950177936,0.6074891721150928
complex_bool_12bits.csv,LogisticRegression,"{'C': 0.010316318243423335, 'penalty': 'l1', 'max_iter': 109}",0.6865853658536586,0.812545587162655,0.688504326328801,0.9911032028469751,0.7064056939501779
complex_bool_12bits.csv,MLPClassifier,"{'n_layers': 2, 'n_neurons_l0': 17, 'n_neurons_l1': 136, 'alpha': 0.01746688255740705, 'learning_rate_init': 0.013852272585648237, 'max_iter': 315}",1.0,1.0,1.0,1.0,1.0
exact_2_or_0__12bits.csv,DecisionTree,"{'max_depth': 41, 'min_samples_split': 13, 'min_samples_leaf': 4, 'criterion': 'gini', 'max_features': None}",0.9817073170731707,0.0,0.0,0.0,0.459727385377943
exact_2_or_0__12bits.csv,LogisticRegression,"{'C': 0.4143956478669422, 'penalty': None, 'max_iter': 719}",0.9963414634146341,0.896551724137931,0.8125,1.0,0.9962825278810409
exact_2_or_0__12bits.csv,MLPClassifier,"{'n_layers': 3, 'n_neurons_l0': 146, 'n_neurons_l1': 194, 'n_neurons_l2': 162, 'alpha': 0.0047709271295583435, 'learning_rate_init': 0.008782538912714731, 'max_iter': 222}",1.0,1.0,1.0,1.0,1.0
exact_2_or_0__6bits.csv,DecisionTree,"{'max_depth': 45, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy', 'max_features': None}",0.7,0.0,0.0,0.0,0.4600000000000001
exact_2_or_0__6bits.csv,LogisticRegression,"{'C': 0.011651657240685417, 'penalty': None, 'max_iter': 234}",0.7,0.0,0.0,0.0,0.9333333333333333
exact_2_or_0__6bits.csv,MLPClassifier,"{'n_layers': 1, 'n_neurons_l0': 94, 'alpha': 0.09863585867560148, 'learning_rate_init': 0.00023124139824330889, 'max_iter': 356}",0.85,0.7272727272727273,0.6666666666666666,0.8,0.8533333333333334
he_exact2_fail.csv,DecisionTree,"{'max_depth': 29, 'min_samples_split': 7, 'min_samples_leaf': 10, 'criterion': 'gini', 'max_features': 'log2'}",0.6,0.42857142857142855,0.3333333333333333,0.6,0.5733333333333333
he_exact2_fail.csv,LogisticRegression,"{'C': 6.379702081476375, 'penalty': 'l1', 'max_iter': 426}",0.5,0.2857142857142857,0.2222222222222222,0.4,0.5066666666666667
he_exact2_fail.csv,MLPClassifier,"{'n_layers': 1, 'n_neurons_l0': 95, 'alpha': 1.0490828573351873e-05, 'learning_rate_init': 0.001128799779636699, 'max_iter': 350}",0.8,0.5,0.6666666666666666,0.4,0.6000000000000001
mod3_count__12bits.csv,DecisionTree,"{'max_depth': 38, 'min_samples_split': 15, 'min_samples_leaf': 1, 'criterion': 'gini', 'max_features': 'sqrt'}",0.6487804878048781,0.006896551724137931,0.058823529411764705,0.003663003663003663,0.21686053130294447
mod3_count__12bits.csv,LogisticRegression,"{'C': 0.33461910089288527, 'penalty': 'elasticnet', 'l1_ratio': 0.5310945139909613, 'max_iter': 455}",0.6670731707317074,0.0,0.0,0.0,0.4099148870629675
mod3_count__12bits.csv,MLPClassifier,"{'n_layers': 3, 'n_neurons_l0': 88, 'n_neurons_l1': 110, 'n_neurons_l2': 146, 'alpha': 0.0006421276656644329, 'learning_rate_init': 0.011642200746334036, 'max_iter': 343}",0.9841463414634146,0.975609756097561,1.0,0.9523809523809523,0.9990089130856956
mod3_count__6bits.csv,DecisionTree,"{'max_depth': 33, 'min_samples_split': 2, 'min_samples_leaf': 3, 'criterion': 'gini', 'max_features': 'log2'}",0.5,0.16666666666666666,0.2,0.14285714285714285,0.3186813186813187
mod3_count__6bits.csv,LogisticRegression,"{'C': 0.02300578031790913, 'penalty': None, 'max_iter': 219}",0.7,0.25,1.0,0.14285714285714285,0.35164835164835156
mod3_count__6bits.csv,MLPClassifier,"{'n_layers': 2, 'n_neurons_l0': 151, 'n_neurons_l1': 147, 'alpha': 0.007811596224148059, 'learning_rate_init': 0.00019682297380168646, 'max_iter': 476}",0.45,0.56,0.3888888888888889,1.0,0.5604395604395604
monks-1.train,DecisionTree,"{'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': None}",0.8888888888888888,0.8928571428571429,0.8620689655172413,0.9259259259259259,0.9609053497942387
monks-1.train,LogisticRegression,"{'C': 0.7079493983627787, 'penalty': 'l1', 'max_iter': 576}",0.7268518518518519,0.7064676616915423,0.7634408602150538,0.6574074074074074,0.7595164609053497
monks-1.train,MLPClassifier,"{'n_layers': 3, 'n_neurons_l0': 97, 'n_neurons_l1': 66, 'n_neurons_l2': 12, 'alpha': 0.054314032859279555, 'learning_rate_init': 0.08281512902745404, 'max_iter': 286}",1.0,1.0,1.0,1.0,1.0
monks-2.train,DecisionTree,"{'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': None}",0.7847222222222222,0.7009646302250804,0.6449704142011834,0.7676056338028169,0.8262263234579894
monks-2.train,LogisticRegression,"{'C': 7.75181785510228, 'penalty': 'l2', 'max_iter': 372}",0.6180555555555556,0.21052631578947367,0.3283582089552239,0.15492957746478872,0.5698397280233123
monks-2.train,MLPClassifier,"{'n_layers': 2, 'n_neurons_l0': 141, 'n_neurons_l1': 22, 'alpha': 0.00028601250596580575, 'learning_rate_init': 0.04510969785268908, 'max_iter': 271}",1.0,1.0,1.0,1.0,1.0
monks-3.train,DecisionTree,"{'max_depth': 2, 'min_samples_split': 3, 'min_samples_leaf': 2, 'criterion': 'entropy', 'max_features': None}",0.9722222222222222,0.972972972972973,1.0,0.9473684210526315,0.9953560371517027
monks-3.train,LogisticRegression,"{'C': 33.509029296249906, 'penalty': 'l2', 'max_iter': 921}",0.9722222222222222,0.972972972972973,1.0,0.9473684210526315,0.986799105607155
monks-3.train,MLPClassifier,"{'n_layers': 1, 'n_neurons_l0': 197, 'alpha': 0.055328337981176305, 'learning_rate_init': 0.08137957649470856, 'max_iter': 382}",0.9722222222222222,0.972972972972973,1.0,0.9473684210526315,0.9788871689026487
